model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type
simulation,0.0,0.0,0.0,0.0,0.0,,0.7411376625250501,0.4188376753507014,0.9155751503006012,0.48804688737474955,0.1693386773547094,0.6633266533066132,9.862074259895053e-05,3.465970013394326e-05,0.00018666809999103858,0.7402,0.0354,0.2244,WISER,1000,500,0.0,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011430412840201734,0.010757480199953307,0.012494357999952398,0.0,1.0,0.0,Aligator,1000,500,0.0,inverse
simulation,0.6752874608977194,0.0,0.984251968503937,0.6912,0.7744,0.7304384279475984,0.8795786100200399,0.4188376753507014,0.9856993987975952,0.8136271759519037,0.1693386773547094,0.9856513026052104,0.07908697512020413,0.06802590207495882,0.08990263790004177,0.1664,0.0614,0.7722,SeedBS_NOT,1000,500,0.0,inverse
simulation,0.00039864007883549756,0.0,0.006230529595015576,0.0346,0.0394,0.03684432432432432,0.5915600352705411,0.4188376753507014,0.8258300601202404,0.3347292264529058,0.1693386773547094,0.5588857715430862,0.000723194258606236,0.0006011659497971777,0.0011201555249158428,0.0244,0.4962,0.4794,Waterseeker,1000,500,0.0,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.7425082196392786,0.4188376753507014,0.9155030060120241,0.4893608320641282,0.1693386773547094,0.6618677354709419,9.915541259929342e-05,3.749792496137161e-05,0.00019142637499953695,0.7348,0.033,0.2322,WISER,1000,500,0.1,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.01118040294540001,0.010526954175134051,0.012202044075081629,0.0,1.0,0.0,Aligator,1000,500,0.1,inverse
simulation,0.6800634204372774,0.0,0.984251968503937,0.6979666666666667,0.7774,0.7355449989833036,0.8807474276553107,0.4188376753507014,0.9856993987975952,0.8158309803607214,0.1693386773547094,0.9856513026052104,0.07918090147440189,0.06807037707501422,0.0898247631498748,0.1588,0.062,0.7792,SeedBS_NOT,1000,500,0.1,inverse
simulation,0.0003796895690283115,0.0,0.0033333333333333335,0.0321,0.0356,0.03375952732644017,0.592996019238477,0.4188376753507014,0.8246498997995991,0.33605212825651304,0.1693386773547094,0.5584849699398797,0.0007183848195959399,0.0005965809246163189,0.0010953760497500297,0.0192,0.486,0.4948,Waterseeker,1000,500,0.1,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.7427926364729459,0.4188376753507014,0.9155751503006012,0.4897081875751503,0.1693386773547094,0.663198396793587,9.346167040052933e-05,3.870169990705108e-05,0.0001751312499436607,0.7356,0.0316,0.2328,WISER,1000,500,0.2,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.01144505377960304,0.010745816350095083,0.012278551050093255,0.0,1.0,0.0,Aligator,1000,500,0.2,inverse
simulation,0.6739662802350527,0.0,0.984251968503937,0.6912666666666666,0.775,0.7307424752205146,0.8797517146292585,0.4188376753507014,0.9856993987975952,0.8135374733466934,0.1693386773547094,0.9856513026052104,0.079201198269002,0.06814701595013162,0.08976802289997748,0.1674,0.0594,0.7732,SeedBS_NOT,1000,500,0.2,inverse
simulation,0.000365252181520128,0.0,0.0033333333333333335,0.0315,0.0348,0.03306787330316742,0.5922594404809619,0.4188376753507014,0.8246733466933868,0.3354079759519038,0.1693386773547094,0.5587414829659318,0.0007282477743990967,0.0005587878249912137,0.0011315396001577932,0.0182,0.49,0.4918,Waterseeker,1000,500,0.2,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.742664551503006,0.4188376753507014,0.9155751503006012,0.48956959839679365,0.1693386773547094,0.6624450901803608,9.879123839918975e-05,3.849480007147577e-05,0.00020009549998576385,0.737,0.0312,0.2318,WISER,1000,500,0.30000000000000004,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011339929315001655,0.01063491700006125,0.012399454175078971,0.0,1.0,0.0,Aligator,1000,500,0.30000000000000004,inverse
