model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,vocab_size,output_tokens,watermark_type,seed,ar_coeff
simulation 1,0.9689681783302904,0.976,0.9159515625,0.9960159362549801,0.98625,1.0,0.9930774071743234,0.9714598076152307,0.9798076152304609,0.8970637274549098,0.9976032064128256,0.971092112224449,0.979687374749499,0.8955088176352706,0.9976032064128256,8.621280147235666e-05,4.72059276944492e-05,0.00019796112610492853,0.0275,0.0,0.9725,1000,500,gumbel,1234,0.1
simulation 1,0.8984197724627235,0.9157298640057261,0.733317610062893,0.9880478087649402,0.8324583333333333,1.0,0.9085699993178562,0.9114015470941883,0.924877755511022,0.7613633266533066,0.990436873747495,0.908271246492986,0.9230941883767535,0.7506531062124249,0.9904288577154309,9.19552610048413e-05,4.6541976644220995e-05,0.00020937050039719887,0.3215,0.0,0.6785,1000,500,inverse,1234,0.1
simulation 1,0.24520053539945602,0.288,0.0,0.72,0.5220833333333332,0.5885,0.5533056952052224,0.5904829098196394,0.6227575150300602,0.4188376753507014,0.8212985971943888,0.43476693386773535,0.5071863727454909,0.1693386773547094,0.7800519038076152,7.971551199989335e-05,2.454200148349628e-05,0.0002127687474967387,0.1305,0.4115,0.458,1000,500,redgreen,1234,0.1
simulation 1,0.9411816414114137,0.96,0.808,0.988,0.787,1.0,0.880805819809737,0.9226805330661323,0.9578997995991984,0.8184825651302605,0.9916392785571142,0.9212390581162324,0.9571703406813626,0.8132290581162325,0.9916152304609218,9.798263999073242e-05,4.849375181947835e-05,0.00022596322469325966,0.4195,0.0,0.5805,1000,500,pf,1234,0.1
simulation 1,0.9805343201988699,0.988,0.932,0.9960159362549801,0.9995,1.0,0.9997499374843711,0.9833964048096193,0.990436873747495,0.9409939879759519,0.9976032064128256,0.9832378997995993,0.9904128256513026,0.9399038076152305,0.9976032064128256,8.377845948962203e-05,4.733300011139363e-05,0.00018747154754237264,0.001,0.0,0.999,1000,500,gumbel,1234,0.2
simulation 1,0.933205760127988,0.946969696969697,0.8012180511182109,0.992,0.8851666666666667,1.0,0.9390858456369905,0.9378372945891783,0.956689378757515,0.8199575150300602,0.9939963927855712,0.9362336753507015,0.9562404809619238,0.8119733466933868,0.9939885771543087,8.62261809870688e-05,4.570897417579545e-05,0.00020573292376866435,0.2255,0.0,0.7745,1000,500,inverse,1234,0.2
simulation 1,0.4740726741097636,0.472,0.0,0.932,0.67,0.8635,0.754541897619824,0.7003243967935872,0.7367775551102205,0.4188376753507014,0.8525086172344689,0.6142042444889779,0.6781442885771543,0.1693386773547094,0.846635270541082,9.164460004103603e-05,3.0029499703232433e-05,0.00023842740019972548,0.373,0.1365,0.4905,1000,500,redgreen,1234,0.2
simulation 1,0.9688686793049844,0.972,0.9116705882352941,0.996,0.96725,1.0,0.9833523954759182,0.9709892545090181,0.9786533066132265,0.8560394789579158,0.9964008016032064,0.9706689258517034,0.9784849699398798,0.8541955911823648,0.9964008016032064,9.061275400017621e-05,4.7248974624380935e-05,0.00021584342393907713,0.0655,0.0,0.9345,1000,500,pf,1234,0.2
simulation 1,0.9878298834296965,0.992,0.952,0.9960159362549801,1.0,1.0,1.0,0.9897250781563126,0.9940120240480962,0.9578677354709418,0.9976032064128256,0.9896668176352705,0.9940040080160321,0.9573386773547093,0.9976032064128256,8.974416100500093e-05,4.8122924090421294e-05,0.0001956701270501071,0.0,0.0,1.0,1000,500,gumbel,1234,0.30000000000000004
simulation 1,0.9491356446584639,0.9615384615384616,0.8304672392219316,0.996,0.8938333333333334,1.0,0.9439408606881986,0.949588865731463,0.9678316633266533,0.8421685370741483,0.9964008016032064,0.9484814468937877,0.9674709418837675,0.8364699398797595,0.9964008016032064,8.92730375071551e-05,4.608397684933152e-05,0.00020281287279431113,0.21,0.0,0.79,1000,500,inverse,1234,0.30000000000000004
