model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,seed,d
simulation 2B,0.002836820084355581,0.0,0.0,0.0,0.004,0.004,0.004,0.3300597718253968,0.3278769841269841,0.3278769841269841,0.3278769841269841,0.18179042658730157,0.17906746031746026,0.17906746031746026,0.17906746031746026,1.6380617015784083e-05,1.0750000001280569e-05,5.951147509222204e-05,0.0,0.9955,0.0045,0.9977474630386188,1000,64,1234,0.5
simulation 2B,0.16304601883235603,0.0,0.0,0.96,0.1925,0.1925,0.19249999999999998,0.4412068452380952,0.3278769841269841,0.3278769841269841,0.9781746031746031,0.3202433035714286,0.17906746031746026,0.17906746031746026,0.9781746031746031,2.8212021004037523e-05,1.1750000339816324e-05,0.00010656697513695676,0.0,0.807,0.193,0.8983317872590283,1000,64,1234,1.0
simulation 2B,0.7384183191726079,0.8928571428571429,0.0,1.0,0.82525,0.8255,0.825374981069211,0.8335709325396824,0.9375,0.3278769841269841,1.0,0.8055357142857144,0.9370039682539683,0.17906746031746026,1.0,3.727499598880968e-05,1.6834001144161448e-05,0.00012032012614326944,0.0005,0.1745,0.825,0.4183300132670378,1000,64,1234,1.5
simulation 2B,0.9100769466288129,0.9259259259259259,0.7142857142857143,1.0,0.99625,0.9965,0.9963749843181533,0.9477653769841269,0.9573412698412699,0.8154761904761905,1.0,0.945234375,0.9573412698412699,0.7975570436507936,1.0,4.118088248560525e-05,2.89999989036005e-05,0.0001297111247822613,0.0005,0.0035,0.996,0.06324555320336758,1000,64,1234,2.0
simulation 2B,0.9252774729639391,0.96,0.7352941176470589,1.0,0.99975,1.0,0.9998749843730466,0.9570610119047619,0.9781746031746031,0.8392857142857143,1.0,0.9555920138888889,0.9781746031746031,0.8253968253968255,1.0,4.4211762996383184e-05,2.929200122707698e-05,0.00013258815029075776,0.0005,0.0,0.9995,0.022360679774997897,1000,64,1234,2.5
simulation 2B,0.9329544695739007,0.96,0.7575757575757576,1.0,1.0,1.0,1.0,0.9616535218253967,0.9781746031746031,0.8531498015873016,1.0,0.9605347222222221,0.9781746031746031,0.8392857142857143,1.0,4.310422302296502e-05,2.9666000045835972e-05,0.00013745904880124726,0.0,0.0,1.0,0.0,1000,64,1234,3.0
simulation 2B,0.9402228061048122,0.96,0.78125,1.0,1.0,1.0,1.0,0.9661019345238094,0.9781746031746031,0.8680555555555556,1.0,0.9653425099206349,0.9781746031746031,0.8606150793650794,1.0,4.3004328525057646e-05,2.9542001357185654e-05,0.00013200312423577995,0.0,0.0,1.0,0.0,1000,64,1234,3.5
simulation 2B,0.9469490843013759,0.96,0.8064516129032258,1.0,1.0,1.0,1.0,0.9702244543650793,0.9781746031746031,0.8868303571428571,1.0,0.9697338789682539,0.9781746031746031,0.8794518849206349,1.0,4.386266351048107e-05,2.912499985541217e-05,0.0001328958254362077,0.0,0.0,1.0,0.0,1000,64,1234,4.0
simulation 2B,0.949526592981028,0.96,0.8331896551724138,1.0,1.0,1.0,1.0,0.9717993551587302,0.9781746031746031,0.9007936507936508,1.0,0.9714072420634919,0.9781746031746031,0.8978174603174603,1.0,3.8600158532972275e-05,2.8708000127153354e-05,0.00012567010021484747,0.0,0.0,1.0,0.0,1000,64,1234,4.5
simulation 2B,0.9515826916718645,0.96,0.8571428571428571,1.0,1.0,1.0,1.0,0.9730515873015873,0.9781746031746031,0.9146577380952381,1.0,0.9727398313492063,0.9781746031746031,0.9116815476190476,1.0,4.3402829523074615e-05,2.8831974350396195e-05,0.000133262499639386,0.0,0.0,1.0,0.0,1000,64,1234,5.0
simulation 2B,0.00454795008912656,0.0,0.0,0.0,0.0075,0.0075,0.0075,0.3381954355314961,0.3345226377952756,0.3345226377952756,0.3345226377952756,0.18231496062992125,0.17765748031496062,0.17765748031496062,0.17765748031496062,2.1322061018508975e-05,1.1456974789325614e-05,7.337812530749942e-05,0.0,0.9925,0.0075,0.9962429422585638,1000,128,1234,0.5
