model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,watermark_type,seed,gap,gap_prop
simulation 3,0.8868938450914847,0.9320987654320988,0.5933870967741935,0.9681528662420382,1.0,0.411,0.5825655563430191,0.9316103037854696,0.9311322773972602,0.885910935971135,0.9731961304427592,0.9302941459760273,0.9310099681996086,0.8757414995107632,0.9730696168664383,8.63961355153151e-05,4.795792301592883e-05,0.00021051770199846933,0.0,0.996,0.004,1.8190656942507601,1000,512,gumbel,1234,2,0.1
simulation 3,0.8556684736321255,0.9099090974677151,0.5769230769230769,0.949685534591195,1.0,0.4686666666666666,0.6382206082614617,0.93397383729819,0.9287472480430529,0.8822854238013699,0.9709066551492173,0.9322173549107142,0.9279598825831703,0.8721715998043053,0.970554060665362,0.00010812313196220202,5.6624998251209036e-05,0.0002434000013636249,0.0,0.9905,0.0095,1.6736188335460378,1000,512,gumbel,1234,3,0.15000000000000002
simulation 3,0.8556684736321255,0.9099090974677151,0.5769230769230769,0.949685534591195,1.0,0.4686666666666666,0.6382206082614617,0.93397383729819,0.9287472480430529,0.8822854238013699,0.9709066551492173,0.9322173549107142,0.9279598825831703,0.8721715998043053,0.970554060665362,9.241429353096464e-05,4.945900209349929e-05,0.00021654615093211758,0.0,0.9905,0.0095,1.6736188335460378,1000,512,gumbel,1234,3,0.20000000000000004
simulation 3,0.8413383778572732,0.8834355828220859,0.5759493670886076,0.9325153374233128,1.0,0.5491666666666667,0.7089833243679398,0.9422722105858611,0.9477777947651664,0.8838400883683952,0.9804395104574364,0.9406306415117417,0.9468337206457926,0.8740423572040117,0.9783394233121331,9.943119497620501e-05,5.0581974392116535e-05,0.0002443839766783637,0.0,0.9465,0.0535,1.4712239802287073,1000,512,gumbel,1234,5,0.25000000000000006
simulation 3,0.8554566700317282,0.8939338235294119,0.5987654320987654,0.9212121212121213,0.9998333333333332,0.5691666666666667,0.7253942709439842,0.9455126895792564,0.95800207925636,0.8867722602739726,0.9827626207803327,0.9440543014615949,0.9568860078277887,0.8772627201565557,0.9820593428938357,0.00011673623247224896,5.9664977834472664e-05,0.0002647111499754828,0.0,0.9095,0.0905,1.4342245291445828,1000,512,gumbel,1234,6,0.30000000000000004
simulation 3,0.823324914711048,0.852760736196319,0.5800925925925926,0.8895348837209303,1.0,0.6976666666666667,0.8219124288238759,0.9532775119251466,0.9634104390900196,0.8852229467343444,0.9844208659491194,0.9514819593933465,0.9623975660469667,0.875267551369863,0.9834758362891389,0.00011446429749594245,5.47468735021539e-05,0.0002582910268756677,0.0,0.722,0.278,1.1300442469213319,1000,512,gumbel,1234,9,0.3500000000000001
simulation 3,0.8159854426687251,0.8361581920903954,0.5818181818181818,0.8787878787878788,1.0,0.7938333333333333,0.8850692186193441,0.9615525853106653,0.9653291646281801,0.8921502339163405,0.9861115994985322,0.9596976478412428,0.9643583353718199,0.8824360170009785,0.9849737417441291,0.00011820967796666082,6.345592419165769e-05,0.0002742107246376688,0.0,0.54,0.46,0.8806247782114696,1000,512,gumbel,1234,12,0.40000000000000013
simulation 3,0.7884530274522966,0.7967914438502673,0.5554901960784314,0.8758169934640523,1.0,0.9389999999999998,0.9685404847859721,0.9672260312194227,0.9728358916340509,0.8907889707681017,0.9858665988869862,0.9649579332803326,0.9708827666340509,0.8800129571306262,0.9852542884662426,0.00013994957002796583,8.249687389252358e-05,0.00030714439935763916,0.0,0.176,0.824,0.4438468204234429,1000,512,gumbel,1234,17,0.4500000000000001
simulation 3,0.8028757446198747,0.807909604519774,0.562491554054054,0.9354838709677419,1.0,0.9746666666666668,0.987170830519919,0.9726816253363503,0.9782022076810175,0.8848221930039138,0.9922142551369862,0.9700155179794521,0.9759509540117416,0.8734747660836595,0.9919965829867906,0.00013332737650125637,8.498332817907794e-05,0.00028722260040012763,0.0,0.0755,0.9245,0.27748873851023215,1000,512,gumbel,1234,23,0.5000000000000001
simulation 3,0.83532650290578,0.8553459119496856,0.5974164508570724,0.948051948051948,1.0,0.9798333333333332,0.9898139574038218,0.9766521067759295,0.9825938723091977,0.8825520196306262,0.9933419841609589,0.9750189426369864,0.9818179733365949,0.8723225752201565,0.9932653498043053,0.0001335129140461504,8.587499905843288e-05,0.00030604512712670837,0.0,0.06,0.94,0.24799193535274489,1000,512,gumbel,1234,31,0.5500000000000002
